Age,Gender,Income,Education,Marital_Status,Employment_Years,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Property_Type,Monthly_Debt,Approved_Flag
22,Female,69724,Not Graduate,Married,30,179489,24,394,1,Rent,2500,P4
36,Male,63412,Graduate,Married,20,26069,24,526,2,Rent,4221,P4
40,Female,110572,Graduate,Married,28,390713,36,446,4,Rent,4127,P4
65,Male,87867,Not Graduate,Married,14,116952,60,649,0,None,3173,P3
30,Male,72978,Graduate,Married,3,219927,24,478,1,Rent,4819,P4
33,Female,94337,Not Graduate,Married,5,496349,48,517,4,None,3377,P4
39,Female,81856,Not Graduate,Married,15,393485,12,376,1,None,3027,P4
65,Female,61173,Graduate,Single,18,176202,36,608,5,None,1266,P4
59,Female,101495,Graduate,Married,22,240088,24,595,3,Rent,1882,P3
22,Male,189615,Graduate,Married,24,165759,60,603,4,Rent,30,P2
31,Female,111032,Graduate,Married,23,314961,48,488,3,Rent,3591,P4
57,Male,127560,Not Graduate,Married,18,80632,24,716,0,Rent,3034,P3
23,Female,197177,Not Graduate,Married,0,476559,48,634,4,Own,3486,P3
59,Male,130450,Graduate,Single,16,493637,24,397,2,Own,3144,P4
33,Female,60198,Graduate,Married,25,152786,36,502,2,Own,1237,P4
62,Male,91725,Graduate,Single,26,119077,36,664,4,Rent,5000,P3
34,Female,107836,Graduate,Married,25,271926,60,364,1,Own,2178,P3
40,Female,105461,Not Graduate,Married,0,325179,24,494,2,Rent,3498,P4
50,Female,46912,Not Graduate,Married,13,323586,12,780,3,Own,670,P3
26,Female,39050,Not Graduate,Single,19,25813,12,543,3,Own,2984,P4
46,Male,83000,Graduate,Single,7,356959,60,580,4,Rent,2011,P4
43,Male,184568,Not Graduate,Married,12,37903,24,675,0,None,4639,P2
56,Female,149116,Graduate,Single,3,174275,12,477,5,Own,3814,P4
65,Male,171510,Not Graduate,Married,6,359792,36,755,3,None,4674,P3
50,Male,51403,Not Graduate,Married,0,444107,60,309,3,Own,1569,P4
39,Male,94569,Not Graduate,Single,30,319408,60,560,5,Rent,3300,P4
39,Female,124643,Graduate,Married,26,84065,60,629,2,Own,3165,P2
39,Male,98177,Graduate,Married,12,341681,48,431,0,Own,1255,P3
57,Male,95006,Not Graduate,Married,0,23336,60,731,0,Own,1638,P2
35,Female,84762,Graduate,Single,10,119330,48,343,5,Own,3375,P4
28,Male,29284,Not Graduate,Married,13,66251,12,658,5,Rent,735,P4
36,Male,174300,Graduate,Single,5,492521,36,648,0,Rent,2000,P3
22,Male,187954,Not Graduate,Married,20,187339,36,734,4,Own,3707,P2
25,Female,34552,Graduate,Single,30,281396,36,414,3,None,4206,P4
25,Male,94448,Not Graduate,Married,26,396343,60,385,0,Rent,2947,P4
55,Female,113210,Graduate,Single,26,484927,60,619,4,Own,3347,P3
53,Male,161107,Graduate,Married,25,497770,36,835,2,Rent,4128,P2
52,Male,197615,Graduate,Married,2,86264,12,732,1,Own,1155,P1
41,Male,94936,Graduate,Married,17,199994,24,416,3,None,3395,P4
53,Male,154806,Not Graduate,Single,17,205524,12,524,5,Rent,3679,P4
28,Male,188725,Not Graduate,Married,3,399134,36,446,1,Own,4086,P3
61,Male,169454,Not Graduate,Married,4,171164,24,729,3,Own,3041,P3
43,Male,72284,Not Graduate,Single,17,119482,12,582,4,Own,774,P3
63,Female,167149,Not Graduate,Married,22,378762,12,541,3,Rent,252,P3
27,Female,94201,Graduate,Married,6,250085,36,302,3,Rent,3073,P4
43,Female,23153,Not Graduate,Married,15,375048,12,649,4,None,1384,P4
52,Female,156596,Graduate,Married,2,193055,12,543,1,Own,1837,P2
43,Female,170373,Not Graduate,Married,3,245839,24,321,0,Own,2309,P4
41,Female,81860,Graduate,Single,17,9519,48,407,5,Own,3733,P4
28,Female,101168,Not Graduate,Married,17,12993,48,700,1,Own,1772,P2
38,Male,85584,Graduate,Married,23,5172,24,712,5,Rent,2901,P3
31,Female,41064,Graduate,Single,28,91727,48,572,1,None,2489,P3
34,Male,199069,Graduate,Married,5,177076,12,717,1,Rent,270,P2
51,Female,24070,Graduate,Married,10,29881,48,706,0,Own,3457,P3
49,Female,120011,Graduate,Single,26,84571,12,639,2,None,2668,P2
48,Male,22687,Graduate,Married,1,424273,12,414,5,None,1103,P4
37,Male,144089,Graduate,Married,25,428014,60,532,5,Own,3722,P3
64,Male,182153,Not Graduate,Single,29,148437,36,749,1,None,498,P2
24,Male,135823,Graduate,Single,3,473505,36,470,2,Rent,1314,P4
36,Female,129111,Not Graduate,Single,4,63371,24,663,4,Rent,1195,P3
26,Female,169027,Graduate,Single,21,20543,48,755,5,Rent,3273,P2
36,Female,195363,Not Graduate,Married,14,180315,48,593,3,Own,4950,P3
64,Female,175129,Graduate,Married,30,136042,48,579,1,Rent,4205,P2
37,Male,61656,Graduate,Single,16,43258,24,403,2,Rent,691,P4
61,Male,121386,Not Graduate,Single,20,424489,48,573,4,None,325,P4
43,Female,167386,Not Graduate,Single,7,489535,48,323,0,Own,3946,P4
52,Female,73020,Graduate,Married,10,138844,36,362,3,Own,2890,P4
41,Female,141536,Graduate,Single,5,160929,24,598,4,Rent,1793,P3
32,Male,24104,Graduate,Married,4,360601,48,420,2,Rent,4438,P4
55,Female,177920,Graduate,Married,3,466868,36,491,3,Rent,892,P4
64,Female,130593,Graduate,Married,27,146991,24,498,4,Rent,632,P3
32,Male,153761,Not Graduate,Married,2,342951,60,560,3,Rent,2499,P4
56,Male,168585,Graduate,Single,16,16451,36,685,0,Rent,1346,P2
32,Male,59380,Not Graduate,Married,15,285223,36,545,3,Own,1161,P4
53,Male,101097,Graduate,Single,1,493644,24,765,1,Rent,3130,P3
56,Male,174556,Graduate,Married,26,240371,48,565,4,Rent,1524,P3
41,Female,49647,Graduate,Married,15,322561,60,847,1,Rent,2926,P3
54,Female,168044,Graduate,Married,3,345253,48,850,5,Rent,2834,P2
33,Male,71855,Graduate,Married,3,317981,36,535,0,Rent,3967,P4
24,Female,123592,Not Graduate,Single,21,344706,48,721,5,Own,4880,P3
25,Female,111798,Not Graduate,Married,19,443923,24,549,0,Own,3145,P4
41,Male,143569,Graduate,Married,12,10207,12,782,4,Own,1434,P1
61,Male,170603,Graduate,Married,12,442879,48,722,2,Rent,2879,P3
26,Male,82816,Not Graduate,Married,1,454353,12,486,1,Rent,2412,P4
41,Female,50915,Graduate,Married,0,452488,12,476,1,None,2259,P4
52,Female,96109,Graduate,Single,16,187142,48,785,0,Rent,1724,P2
30,Female,130187,Not Graduate,Married,11,293585,36,597,0,Rent,391,P3
53,Female,155080,Graduate,Married,7,179870,60,682,2,Rent,1233,P2
34,Male,155607,Graduate,Single,11,420955,60,673,0,Rent,2956,P3
57,Male,81193,Graduate,Single,18,206262,12,391,5,Rent,353,P4
47,Female,188489,Not Graduate,Married,9,159938,48,430,4,Rent,783,P4
45,Male,34970,Graduate,Single,10,344215,24,796,2,Rent,2852,P4
28,Male,41006,Not Graduate,Single,8,29436,48,454,0,None,4980,P4
41,Male,24458,Graduate,Married,20,191129,12,778,5,Rent,834,P4
59,Male,186751,Graduate,Married,1,107112,36,496,4,Own,392,P3
21,Male,52421,Graduate,Single,28,190046,48,766,1,Rent,1748,P3
55,Male,128264,Not Graduate,Single,17,227127,36,618,0,None,378,P3
43,Male,166332,Graduate,Single,7,36415,36,354,3,Own,4481,P4
53,Female,158007,Not Graduate,Married,23,433009,12,448,0,None,3937,P4
50,Female,190792,Graduate,Single,29,211238,12,824,3,None,584,P1
40,Female,29679,Graduate,Married,1,182611,48,414,2,Rent,505,P4
34,Female,93273,Graduate,Single,6,78991,36,425,5,Own,2705,P4
49,Female,111107,Graduate,Single,4,497918,36,382,2,Own,2025,P4
27,Male,145307,Graduate,Married,2,428517,24,635,2,Own,3467,P3
47,Female,132073,Not Graduate,Married,22,243531,12,745,3,Own,4638,P2
25,Female,120791,Not Graduate,Married,5,170583,48,815,5,Rent,1671,P3
50,Female,75230,Not Graduate,Single,11,236406,12,788,4,None,3940,P4
49,Male,39165,Not Graduate,Married,25,480630,48,787,4,Own,1665,P4
24,Male,97697,Graduate,Single,18,114589,12,798,1,Rent,1164,P2
55,Female,66738,Not Graduate,Married,21,343842,60,612,2,Rent,4853,P4
39,Female,119774,Graduate,Married,3,452263,24,752,1,Own,1255,P2
56,Female,163483,Not Graduate,Married,30,379295,60,649,2,Rent,716,P3
22,Female,119459,Not Graduate,Single,2,435728,12,375,4,None,2961,P4
29,Male,124948,Graduate,Married,22,474137,36,313,0,Rent,2978,P4
43,Male,27535,Not Graduate,Married,19,34697,36,353,0,Own,2432,P4
29,Female,136037,Not Graduate,Married,12,123272,12,490,3,Rent,436,P3
35,Female,99107,Graduate,Single,25,76485,36,575,4,Own,583,P3
50,Male,42265,Not Graduate,Single,27,285809,24,651,5,None,3789,P4
27,Male,58487,Graduate,Married,2,206680,36,587,3,None,793,P4
51,Male,160534,Graduate,Married,29,25159,24,501,3,Own,1380,P3
25,Male,185006,Graduate,Married,7,281000,12,703,1,Rent,4015,P2
28,Female,111390,Not Graduate,Married,24,54875,48,774,2,Rent,1692,P2
47,Male,195785,Graduate,Single,25,206620,36,422,1,Rent,1724,P3
56,Female,52407,Not Graduate,Married,17,186460,60,444,0,Rent,4582,P4
28,Male,73936,Graduate,Married,26,447330,60,812,2,None,3995,P3
34,Female,187412,Graduate,Single,25,342839,24,834,1,Own,3542,P1
62,Male,51533,Not Graduate,Married,16,313978,24,470,3,Rent,949,P4
65,Female,138689,Graduate,Married,5,416689,60,580,4,Own,1422,P3
47,Female,59510,Not Graduate,Married,13,94361,24,618,5,Own,2997,P4
41,Female,79612,Graduate,Married,27,131920,12,649,5,None,4194,P3
36,Female,105995,Not Graduate,Single,6,377403,36,776,1,Rent,2526,P3
48,Female,84798,Not Graduate,Married,30,375793,60,358,5,Rent,3719,P4
47,Female,177411,Graduate,Married,5,15573,24,588,5,Own,1632,P2
34,Male,195102,Graduate,Married,20,116024,48,419,3,None,1827,P3
22,Male,110007,Graduate,Single,19,117414,24,715,1,Own,3043,P2
27,Male,114539,Not Graduate,Married,6,7997,24,628,4,Rent,2834,P4
64,Male,29970,Not Graduate,Married,14,332349,36,712,0,Own,622,P3
39,Female,62156,Graduate,Married,4,31934,12,798,2,Rent,1943,P2
42,Male,27179,Graduate,Married,11,421480,24,735,3,Rent,4283,P4
42,Male,174197,Not Graduate,Married,29,294852,24,770,5,Own,2667,P2
56,Female,60930,Graduate,Married,1,382057,60,746,5,Rent,3717,P4
23,Male,81314,Not Graduate,Single,27,251088,24,644,4,Rent,4133,P4
24,Male,171699,Not Graduate,Married,21,485278,60,516,2,Rent,1435,P4
33,Female,148392,Graduate,Single,23,138860,12,485,0,Rent,1174,P3
42,Female,131867,Graduate,Married,8,281197,36,500,4,None,2901,P4
51,Female,26924,Graduate,Married,29,8241,24,634,5,Own,2398,P3
43,Female,121332,Graduate,Married,7,417284,36,742,2,Own,4511,P3
40,Female,120961,Not Graduate,Married,15,286165,48,502,3,Own,913,P4
63,Female,77414,Not Graduate,Single,1,92072,60,619,5,Own,2111,P4
28,Male,154087,Not Graduate,Single,27,409716,48,528,0,Rent,243,P3
46,Female,187297,Graduate,Single,21,494666,36,634,4,Own,1817,P2
45,Male,66626,Graduate,Married,5,38929,36,751,3,Own,2937,P2
42,Male,79612,Not Graduate,Single,20,423646,60,526,4,Own,3995,P4
57,Female,78020,Graduate,Married,5,369555,60,518,1,Rent,4221,P4
33,Female,170290,Graduate,Married,13,180436,48,411,3,Rent,5,P3
63,Male,33998,Graduate,Married,15,319099,12,574,1,Rent,4361,P4
35,Female,181263,Not Graduate,Married,28,393775,24,551,3,None,3432,P3
45,Female,159507,Not Graduate,Single,10,242281,24,388,3,Own,1008,P4
44,Female,107000,Graduate,Single,0,334903,24,834,5,Rent,1079,P3
59,Male,125034,Not Graduate,Married,13,28929,60,773,4,Own,3885,P2
40,Female,180972,Graduate,Married,28,463028,12,460,3,None,3471,P3
33,Male,158571,Graduate,Single,24,462168,60,820,2,Own,1030,P1
21,Female,69824,Graduate,Single,1,109078,60,449,2,None,2189,P4
37,Male,29072,Not Graduate,Single,1,241333,36,530,3,Rent,4293,P4
58,Female,138518,Graduate,Married,23,123168,24,372,5,Rent,101,P4
21,Male,46245,Graduate,Married,22,202805,24,637,3,Rent,2557,P4
61,Male,35833,Graduate,Single,17,141259,48,565,3,Own,4372,P4
45,Male,196813,Not Graduate,Married,2,431431,48,447,1,Own,19,P4
27,Female,105308,Not Graduate,Single,8,348903,36,458,3,None,2733,P4
34,Male,137153,Graduate,Single,26,423562,36,815,3,Rent,2793,P2
45,Female,59119,Not Graduate,Single,4,397484,60,678,4,Own,1568,P4
35,Male,38305,Graduate,Married,6,364994,48,384,1,Own,2696,P4
25,Male,31297,Graduate,Single,14,87494,48,374,2,Own,3517,P4
50,Female,83786,Not Graduate,Single,22,415534,24,338,2,Rent,1418,P4
51,Female,20670,Not Graduate,Married,25,392629,12,436,2,Rent,2480,P4
26,Male,95610,Graduate,Married,18,66542,36,706,1,Rent,2683,P2
33,Male,78455,Not Graduate,Married,15,48438,24,334,1,Own,174,P4
31,Male,114830,Graduate,Married,11,381653,24,437,3,None,1063,P4
50,Female,126116,Not Graduate,Single,1,198139,36,322,5,Own,3251,P4
53,Female,75517,Not Graduate,Single,8,167377,60,657,0,Own,2445,P3
53,Male,101941,Not Graduate,Married,6,201281,60,748,3,None,4848,P4
63,Female,34057,Graduate,Married,1,434410,48,591,4,Rent,4251,P4
55,Male,74318,Not Graduate,Married,23,185030,48,799,4,Rent,1110,P3
35,Male,196075,Not Graduate,Married,10,188264,36,679,5,None,4987,P3
25,Female,198416,Graduate,Married,15,202641,36,720,1,Own,4315,P1
48,Female,107446,Graduate,Single,6,31880,36,472,0,Own,2103,P3
62,Male,189115,Not Graduate,Single,18,23541,60,776,5,Own,3105,P2
64,Female,110234,Graduate,Single,4,210118,60,647,4,Own,1398,P3
31,Male,42617,Not Graduate,Single,21,13324,36,347,2,Rent,389,P4
31,Female,176223,Graduate,Married,22,379605,48,345,5,Rent,1187,P4
22,Male,94719,Not Graduate,Single,9,215073,12,794,2,Rent,3650,P3
27,Male,130237,Graduate,Married,6,252961,36,451,4,Rent,2855,P4
45,Male,136793,Not Graduate,Married,24,171353,60,556,5,Own,2207,P3
45,Female,75446,Not Graduate,Married,6,382999,48,718,4,Own,2404,P4
37,Female,152029,Graduate,Married,5,216617,36,723,3,Own,3969,P2
34,Male,110235,Not Graduate,Married,10,22460,24,314,1,Rent,3480,P4
58,Female,85947,Not Graduate,Married,29,246711,60,639,5,Rent,3179,P4
41,Female,73624,Graduate,Married,14,92696,60,803,2,None,2507,P2
57,Male,154331,Graduate,Single,8,299537,24,492,3,None,13,P3
64,Female,64881,Not Graduate,Married,15,283986,60,599,3,Rent,1668,P4
35,Female,42347,Not Graduate,Married,10,239913,36,445,1,Rent,631,P4
30,Male,178715,Graduate,Single,20,195730,24,697,3,Rent,3871,P2
63,Male,79726,Not Graduate,Married,13,300014,24,365,2,None,1762,P4
49,Male,135386,Graduate,Married,18,341687,36,586,2,Rent,1225,P3
34,Female,148958,Graduate,Single,13,439894,36,527,5,Own,2409,P3
48,Female,170901,Not Graduate,Married,14,481465,48,653,4,Own,2400,P3
44,Male,132623,Graduate,Married,13,46156,12,572,2,None,4661,P3
61,Male,147430,Graduate,Married,12,331632,36,840,0,Own,893,P1
32,Male,170698,Graduate,Married,29,46902,48,841,4,Rent,4110,P1
65,Male,189806,Graduate,Single,8,211595,60,456,4,None,1079,P4
63,Male,28434,Graduate,Married,24,371938,24,320,0,Own,4008,P4
29,Male,153786,Not Graduate,Single,22,273470,48,571,4,Own,2691,P3
28,Female,51390,Graduate,Single,16,404859,24,625,2,Own,2698,P4
44,Male,180430,Not Graduate,Single,9,456850,48,714,4,Rent,3525,P3
23,Female,28729,Not Graduate,Married,14,487072,24,589,5,Rent,464,P4
34,Male,64419,Graduate,Married,26,338130,48,623,4,Own,3986,P4
40,Male,54580,Graduate,Single,5,338334,36,312,5,Rent,3729,P4
64,Female,128615,Not Graduate,Single,18,402574,24,720,0,Rent,992,P3
65,Female,20770,Graduate,Married,23,120352,36,481,1,Own,432,P4
27,Female,23064,Graduate,Married,19,154251,48,511,0,Own,3617,P4
61,Female,110758,Not Graduate,Single,4,173927,48,533,1,Own,457,P3
25,Male,194900,Not Graduate,Married,15,373439,48,339,2,None,2900,P4
54,Male,115097,Not Graduate,Married,5,178846,48,572,0,Own,1275,P3
59,Female,100267,Graduate,Single,28,74018,60,510,2,Own,3591,P3
61,Female,138421,Graduate,Married,10,400332,36,428,0,Rent,4613,P4
31,Female,119326,Graduate,Married,13,376139,36,435,0,Rent,4208,P4
61,Female,89284,Not Graduate,Single,26,299126,36,318,5,Rent,3750,P4
26,Male,125939,Graduate,Single,13,441372,36,789,4,Rent,3213,P3
44,Male,20577,Graduate,Married,6,396963,12,461,2,Rent,383,P4
42,Male,64008,Graduate,Single,27,450615,60,781,3,Rent,4750,P4
35,Female,141301,Not Graduate,Married,20,133584,36,760,1,None,4595,P3
21,Female,81479,Not Graduate,Married,18,62712,36,552,2,Rent,311,P3
55,Male,29772,Graduate,Single,2,174063,60,745,4,Rent,3917,P4
36,Female,42399,Graduate,Married,13,415792,36,416,3,Own,534,P4
50,Female,175911,Graduate,Married,14,462716,36,399,4,Rent,3018,P4
39,Male,79324,Graduate,Single,8,59418,36,795,2,None,1248,P2
37,Male,24077,Graduate,Married,17,428476,60,656,2,Own,634,P4
